Departamento;Municipio;División;Personas en hogares particulares;Sin servicio de energía eléctrica;No tiene;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;No sabe o no responde
05_Antioquia;;Cabecera;2.619;19;0;666;1.880;41;2;2;5;4
05_Antioquia;;Rural disperso;701;19;2;455;171;31;3;0;20;0
05_Antioquia;05154_Caucasia;Total;84.459;670;593;49.186;25.327;7.876;660;62;15;70
05_Antioquia;;Cabecera;74.074;266;218;39.808;25.162;7.833;656;59;15;57
05_Antioquia;;Centro poblado;5.458;155;276;4.918;86;20;0;0;0;3
05_Antioquia;;Rural disperso;4.927;249;99;4.460;79;23;4;3;0;10
05_Antioquia;05172_Chigorodó;Total;55.558;1.192;484;33.547;19.705;569;30;4;4;23
05_Antioquia;;Cabecera;46.539;333;82;25.891;19.623;562;20;4;4;20
05_Antioquia;;Centro poblado;1.251;19;1;1.230;1;0;0;0;0;0
05_Antioquia;;Rural disperso;7.768;840;401;6.426;81;7;10;0;0;3
05_Antioquia;05190_Cisneros;Total;8.891;22;71;3.131;4.800;836;27;0;0;4
05_Antioquia;;Cabecera;7.688;17;60;2.734;4.074;784;15;0;0;4
05_Antioquia;;Rural disperso;1.203;5;11;397;726;52;12;0;0;0
05_Antioquia;05197_Cocorná;Total;14.703;314;65;4.414;7.586;1.684;8;2;0;630
05_Antioquia;;Cabecera;5.926;36;11;637;3.706;1.518;8;0;0;10
05_Antioquia;;Centro poblado;502;10;0;306;174;3;0;0;0;9
05_Antioquia;;Rural disperso;8.275;268;54;3.471;3.706;163;0;2;0;611
05_Antioquia;05206_Concepción;Total;3.901;26;54;962;2.317;532;4;3;0;3
05_Antioquia;;Cabecera;1.752;5;0;154;1.118;475;0;0;0;0
05_Antioquia;;Rural disperso;2.149;21;54;808;1.199;57;4;3;0;3
05_Antioquia;05209_Concordia;Total;16.063;95;47;4.044;9.631;2.090;125;15;9;7
05_Antioquia;;Cabecera;6.804;49;8;1.547;3.516;1.622;47;5;4;6
05_Antioquia;;Centro poblado;688;11;4;470;197;6;0;0;0;0
05_Antioquia;;Rural disperso;8.571;35;35;2.027;5.918;462;78;10;5;1
05_Antioquia;05212_Copacabana;Total;76.078;202;186;3.830;47.593;22.654;850;395;301;67
